"﻿""Student""",Subject,Mastered Lessons vs. 2X Learning,Essential Lessons Mastered,Lessons to Catch Up to 2X
Anon#1044,Reading,0.1285714285714286,1,6.777777777777778
Anon#1046,Reading,0.1,1,9
Anon#1073,Reading,0.1285714285714286,1,6.777777777777778
Anon#1093,Reading,0.6428571428571429,5,2.7777777777777777
Anon#1099,Reading,0.2571428571428572,2,5.777777777777778
Anon#1154,Reading,0,0,10
Anon#1478,Reading,0,0,7.777777777777778
Anon#1524,Reading,0.1285714285714286,1,6.777777777777778
Anon#1587,Reading,0.1285714285714286,1,6.777777777777778
Anon#1807,Reading,0.38571428571428573,3,4.777777777777778
Anon#1832,Reading,0.5142857142857143,4,3.7777777777777777
Anon#1897,Reading,0.2571428571428572,2,5.777777777777778
Anon#1903,Reading,0,0,7.777777777777778
Anon#1920,Reading,0.1285714285714286,1,6.777777777777778
Anon#1921,Reading,0.1285714285714286,1,6.777777777777778
Anon#1981,Reading,0.38571428571428573,3,4.777777777777778
Anon#1985,Reading,0,0,7.777777777777778
Anon#2312,Reading,0.1285714285714286,1,6.777777777777778
Anon#2318,Reading,0.38571428571428573,3,4.777777777777778
Anon#2402,Reading,0.38571428571428573,3,4.777777777777778
Anon#153,Science,0.2950819672131147,1,2.3888888888888893
Anon#336,Science,0.6067415730337078,3,1.9444444444444446
Anon#450,Science,5.379310344827586,13,0
Anon#522,Science,0.30000000000000004,1,2.333333333333333
Anon#804,Science,1.6488549618320612,6,0
Anon#813,Science,0.8089887640449438,4,0.9444444444444446
Anon#859,Science,0.22499999999999998,1,3.4444444444444446
Anon#1099,Science,0.22499999999999998,1,3.4444444444444446
Anon#1445,Science,1.6179775280898876,8,0
Anon#1587,Science,0.44999999999999996,2,2.4444444444444446
Anon#1803,Science,1.0112359550561798,5,0
Anon#1807,Science,0.6000000000000001,2,1.333333333333333
Anon#1897,Science,0.22499999999999998,1,3.4444444444444446
Anon#1903,Science,1.125,5,0
Anon#1920,Science,0.2950819672131147,1,2.3888888888888893
Anon#1981,Science,1.125,5,0
Anon#2312,Science,0.8089887640449438,4,0.9444444444444446
Anon#2409,Science,0.4675324675324675,2,2.2777777777777777
Anon#612,Social Studies,0.27272727272727276,1,2.6666666666666665
