"﻿""Level""",Subject,Student,Age Grade,Lowest Unmastered Grade,Grade Gap,Count
L2,Social Studies,Anon#1921,6,5,-1,1
L2,Social Studies,Anon#2099,6,4,-2,1
L2,Social Studies,Anon#2332,5,4,-1,1
L2,Social Studies,Anon#2397,6,4,-2,1
L3,Social Studies,Anon#035,8,5,-3,1
L3,Social Studies,Anon#321,7,4,-3,1
L3,Social Studies,Anon#710,7,5,-2,1
L3,Social Studies,Anon#810,8,4,-4,1
L3,Social Studies,Anon#1017,7,4,-3,1
L3,Social Studies,Anon#1726,7,4,-3,1
L3,Social Studies,Anon#1741,8,4,-4,1
L3,Social Studies,Anon#1790,7,4,-3,1
L3,Social Studies,Anon#1803,7,4,-3,1
L3,Social Studies,Anon#1867,7,5,-2,1
L3,Social Studies,Anon#1889,7,4,-3,1
L3,Social Studies,Anon#2098,8,4,-4,1
L3,Social Studies,Anon#2203,7,4,-3,1
L3,Social Studies,Anon#2409,8,4,-4,1
