"﻿""fullname""",subject,Working grade gap
Anon#983,Language,0
Anon#983,Reading,0
Anon#1000,Math,0
Anon#1000,Reading,0
Anon#1073,Language,0
Anon#1093,Language,0
Anon#1093,Math,0
Anon#1154,Language,0
Anon#1156,Language,0
Anon#1156,Math,0
Anon#1156,Science,0
Anon#1222,Math,0
Anon#1237,Language,0
Anon#1237,Math,0
Anon#1237,Reading,0
Anon#1257,Language,0
Anon#1257,Math,0
Anon#1257,Reading,0
Anon#1260,Math,0
Anon#1260,Reading,0
Anon#1260,Science,0
Anon#1289,Math,0
Anon#1326,Reading,0
Anon#1326,Science,0
Anon#1332,Language,0
Anon#1332,Math,0
Anon#1332,Reading,0
Anon#1345,Math,0
Anon#1378,Math,0
Anon#1473,Math,0
Anon#1506,Language,0
Anon#1506,Math,0
Anon#1506,Science,0
Anon#1525,Language,0
Anon#1567,Math,0
Anon#1637,Reading,0
Anon#1680,Math,0
Anon#1680,Reading,0
Anon#1686,Reading,0
Anon#1705,Math,0
Anon#1705,Science,0
Anon#1706,Science,0
Anon#1713,Language,0
Anon#1713,Math,0
Anon#1713,Reading,0
Anon#1741,Language,0
Anon#1741,Science,0
Anon#1768,Math,0
Anon#1769,Math,0
Anon#1769,Science,0
Anon#1790,Science,0
Anon#1807,Language,0
Anon#1807,Reading,0
Anon#1832,Language,0
Anon#1832,Reading,0
Anon#1852,Math,0
Anon#1852,Reading,0
Anon#1852,Science,0
Anon#1867,Language,0
Anon#1867,Math,0
Anon#1867,Reading,0
Anon#1867,Science,0
Anon#1889,Math,0
Anon#1889,Science,0
Anon#1892,Language,0
Anon#1892,Math,0
Anon#1892,Reading,0
Anon#1894,Language,0
Anon#1894,Reading,0
Anon#1897,Language,0
Anon#1897,Reading,0
Anon#1901,Math,0
Anon#1901,Reading,0
Anon#1901,Science,0
Anon#1920,Language,0
Anon#1920,Reading,0
Anon#1933,Language,0
Anon#1933,Reading,0
Anon#2092,Math,0
Anon#2098,Math,0
Anon#2098,Reading,0
Anon#2178,Language,0
Anon#2178,Math,0
Anon#2193,Language,0
Anon#2193,Math,0
Anon#2193,Reading,0
Anon#2198,Language,0
Anon#2328,Math,0
Anon#2328,Reading,0
Anon#2397,Science,0
Anon#2407,Language,0
Anon#2407,Reading,0
Anon#2409,Reading,0
Anon#2414,Math,0
Anon#2414,Reading,0
Anon#2427,Reading,0
Anon#035,Reading,-1
Anon#035,Science,-1
Anon#043,Language,-1
Anon#052,Language,-1
Anon#052,Science,-1
Anon#200,Language,-1
Anon#262,Language,-1
Anon#285,Language,-1
Anon#285,Reading,-1
Anon#305,Math,-1
Anon#306,Language,-1
Anon#306,Math,-1
Anon#306,Reading,-1
Anon#321,Math,-1
Anon#321,Science,-1
Anon#322,Language,-1
Anon#375,Language,-1
Anon#375,Math,-1
Anon#397,Science,-1
Anon#450,Language,-1
Anon#450,Math,-1
Anon#450,Reading,-1
Anon#450,Science,-1
Anon#462,Math,-1
Anon#462,Reading,-1
Anon#510,Language,-1
Anon#510,Math,-1
Anon#562,Science,-1
Anon#594,Language,-1
Anon#594,Math,-1
Anon#601,Science,-1
Anon#640,Math,-1
Anon#737,Language,-1
Anon#737,Science,-1
Anon#791,Math,-1
Anon#810,Science,-1
Anon#846,Reading,-1
Anon#933,Language,-1
Anon#933,Math,-1
Anon#933,Reading,-1
Anon#983,Math,-1
Anon#983,Science,-1
Anon#1024,Language,-1
Anon#1024,Reading,-1
Anon#1030,Language,-1
Anon#1030,Math,-1
Anon#1030,Science,-1
Anon#1046,Language,-1
Anon#1062,Language,-1
Anon#1062,Math,-1
Anon#1062,Reading,-1
Anon#1064,Language,-1
Anon#1064,Science,-1
Anon#1073,Reading,-1
Anon#1090,Language,-1
Anon#1093,Reading,-1
Anon#1093,Science,-1
Anon#1156,Reading,-1
Anon#1171,Language,-1
Anon#1171,Math,-1
Anon#1216,Math,-1
Anon#1276,Language,-1
Anon#1276,Math,-1
Anon#1276,Science,-1
Anon#1395,Math,-1
Anon#1395,Science,-1
Anon#1445,Math,-1
Anon#1445,Science,-1
Anon#1491,Language,-1
Anon#1491,Math,-1
Anon#1491,Reading,-1
Anon#1675,Math,-1
Anon#1684,Math,-1
Anon#1686,Science,-1
Anon#1698,Language,-1
Anon#1698,Math,-1
Anon#1698,Reading,-1
Anon#1726,Language,-1
Anon#1726,Math,-1
Anon#1741,Math,-1
Anon#1741,Reading,-1
Anon#1761,Language,-1
Anon#1761,Reading,-1
Anon#1761,Science,-1
Anon#1803,Math,-1
Anon#1807,Math,-1
Anon#1832,Math,-1
Anon#1832,Science,-1
Anon#1852,Language,-1
Anon#1897,Math,-1
Anon#1920,Math,-1
Anon#2098,Language,-1
Anon#2099,Reading,-1
Anon#2099,Science,-1
Anon#2119,Language,-1
Anon#2119,Math,-1
Anon#2119,Science,-1
Anon#2332,Language,-1
Anon#2332,Math,-1
Anon#2332,Science,-1
Anon#2402,Language,-1
Anon#2402,Math,-1
Anon#2402,Reading,-1
Anon#2409,Science,-1
Anon#2413,Language,-1
Anon#2413,Math,-1
Anon#046,Math,-2
Anon#052,Math,-2
Anon#285,Math,-2
Anon#305,Language,-2
Anon#322,Math,-2
Anon#345,Language,-2
Anon#345,Reading,-2
Anon#397,Math,-2
Anon#429,Language,-2
Anon#429,Reading,-2
Anon#514,Language,-2
Anon#594,Reading,-2
Anon#679,Language,-2
Anon#679,Math,-2
Anon#843,Language,-2
Anon#843,Math,-2
Anon#843,Reading,-2
Anon#859,Reading,-2
Anon#996,Math,-2
Anon#996,Reading,-2
Anon#1000,Language,-2
Anon#1024,Math,-2
Anon#1046,Math,-2
Anon#1046,Reading,-2
Anon#1056,Language,-2
Anon#1056,Math,-2
Anon#1056,Reading,-2
Anon#1073,Math,-2
Anon#1090,Math,-2
Anon#1090,Reading,-2
Anon#1096,Math,-2
Anon#1096,Reading,-2
Anon#1099,Language,-2
Anon#1099,Math,-2
Anon#1099,Reading,-2
Anon#1171,Reading,-2
Anon#1216,Science,-2
Anon#1386,Language,-2
Anon#1587,Language,-2
Anon#1684,Language,-2
Anon#1684,Reading,-2
Anon#1686,Language,-2
Anon#1761,Math,-2
Anon#1803,Science,-2
Anon#2092,Reading,-2
Anon#2098,Science,-2
Anon#2099,Language,-2
Anon#2099,Math,-2
Anon#2244,Language,-2
Anon#2244,Math,-2
Anon#2244,Reading,-2
Anon#2409,Math,-2
Anon#046,Language,-3
Anon#046,Reading,-3
Anon#060,Language,-3
Anon#200,Math,-3
Anon#200,Science,-3
Anon#285,Science,-3
Anon#345,Math,-3
Anon#429,Math,-3
Anon#783,Reading,-3
Anon#837,Reading,-3
Anon#996,Language,-3
Anon#1017,Math,-3
Anon#1017,Reading,-3
Anon#1100,Math,-3
Anon#1216,Language,-3
Anon#1216,Reading,-3
Anon#1386,Math,-3
Anon#1386,Reading,-3
Anon#1587,Math,-3
Anon#1587,Reading,-3
Anon#1674,Language,-3
Anon#1686,Math,-3
Anon#1726,Science,-3
Anon#1981,Language,-3
Anon#1981,Math,-3
Anon#1981,Reading,-3
Anon#2001,Math,-3
Anon#2092,Language,-3
Anon#2203,Reading,-3
Anon#060,Math,-4
Anon#060,Reading,-4
Anon#322,Science,-4
Anon#514,Math,-4
Anon#514,Reading,-4
Anon#783,Language,-4
Anon#783,Math,-4
Anon#1017,Language,-4
Anon#1100,Language,-4
Anon#1100,Reading,-4
Anon#2001,Reading,-4
Anon#2198,Math,-4
Anon#2203,Language,-4
Anon#2203,Math,-4
Anon#447,Language,-5
Anon#447,Math,-5
Anon#447,Reading,-5
Anon#1903,Language,-5
Anon#1710,Math,-6
Anon#1903,Math,-6
Anon#1903,Reading,-6
Anon#1485,Language,-7
Anon#046,Science,
Anon#057,Science,
Anon#077,Science,
Anon#254,Science,
Anon#262,Reading,
Anon#264,Science,
Anon#275,Language,
Anon#295,Language,
Anon#295,Math,
Anon#295,Reading,
Anon#295,Science,
Anon#306,Science,
Anon#345,Science,
Anon#375,Science,
Anon#429,Science,
Anon#462,Science,
Anon#514,Science,
Anon#603,Language,
Anon#603,Math,
Anon#603,Reading,
Anon#630,Language,
Anon#630,Math,
Anon#668,Language,
Anon#668,Math,
Anon#668,Reading,
Anon#674,Language,
Anon#674,Math,
Anon#674,Reading,
Anon#679,Reading,
Anon#778,Science,
Anon#837,Language,
Anon#837,Math,
Anon#839,Science,
Anon#843,Science,
Anon#846,Science,
Anon#859,Language,
Anon#859,Math,
Anon#967,Language,
Anon#967,Math,
Anon#1000,Science,
Anon#1015,Language,
Anon#1015,Math,
Anon#1017,Science,
Anon#1024,Science,
Anon#1056,Science,
Anon#1062,Science,
Anon#1073,Science,
Anon#1090,Science,
Anon#1096,Language,
Anon#1099,Science,
Anon#1100,Science,
Anon#1154,Science,
Anon#1171,Science,
Anon#1321,Language,
Anon#1321,Math,
Anon#1321,Reading,
Anon#1323,Math,
Anon#1323,Reading,
Anon#1386,Science,
Anon#1482,Language,
Anon#1482,Math,
Anon#1482,Reading,
Anon#1491,Science,
Anon#1587,Science,
Anon#1674,Math,
Anon#1674,Reading,
Anon#1674,Science,
Anon#1684,Science,
Anon#1697,Language,
Anon#1697,Math,
Anon#1697,Reading,
Anon#1698,Science,
Anon#1710,Language,
Anon#1710,Reading,
Anon#1762,Reading,
Anon#1781,Science,
Anon#1807,Science,
Anon#1809,Language,
Anon#1809,Math,
Anon#1809,Reading,
Anon#1823,Math,
Anon#1823,Reading,
Anon#1823,Science,
Anon#1850,Language,
Anon#1850,Math,
Anon#1850,Reading,
Anon#1890,Language,
Anon#1890,Math,
Anon#1890,Reading,
Anon#1892,Science,
Anon#1897,Science,
Anon#1912,Language,
Anon#1912,Math,
Anon#1912,Reading,
Anon#1920,Science,
Anon#1981,Science,
Anon#2001,Language,
Anon#2001,Science,
Anon#2092,Science,
Anon#2167,Language,
Anon#2167,Math,
Anon#2167,Reading,
Anon#2167,Science,
Anon#2193,Science,
Anon#2203,Science,
Anon#2244,Science,
Anon#2328,Science,
Anon#2402,Science,
Anon#2409,Language,
Anon#2413,Reading,
Anon#2413,Science,
