"﻿""Student""",Subject,Hours Worked,Mins / weekday,Daily minutes vs. target
Anon#859,Reading,0.3433333333333334,4.12,0.1648
Anon#859,Science,0.09533333333333333,1.144,0.045759999999999995
Anon#875,Language,0.23883333333333334,2.866,0.11464
Anon#875,Reading,0.13733333333333334,1.6480000000000001,0.06592
Anon#875,Science,0.9006666666666666,10.808,0.43232
Anon#878,Math,2.2158333333333338,26.590000000000003,1.0636
Anon#887,Math,3.556,42.672000000000004,1.7068800000000002
Anon#891,Math,1.4758333333333333,17.71,0.7084
Anon#910,Math,0.11666666666666667,1.4,0.055999999999999994
Anon#919,Math,1.2625,15.15,0.606
Anon#937,Math,0,0,0
Anon#996,Language,0.4501666666666667,5.402,0.21608
Anon#996,Math,0.5538333333333333,6.645999999999999,0.26583999999999997
Anon#996,Science,0.0105,0.126,0.00504
Anon#1044,Language,0.298,3.5759999999999996,0.14303999999999997
Anon#1044,Math,0.866,10.392,0.41568
Anon#1044,Reading,0.21483333333333335,2.5780000000000003,0.10312000000000002
Anon#1046,Language,0.14550000000000002,1.746,0.06984
Anon#1046,Math,0.1175,1.41,0.0564
Anon#1046,Reading,1.4943333333333333,17.932,0.7172799999999999
Anon#1050,Language,0.4983333333333333,5.9799999999999995,0.23919999999999997
Anon#1050,Math,0.6038333333333333,7.2459999999999996,0.28984
Anon#1064,Math,0.4081666666666666,4.898,0.19591999999999998
Anon#1073,Language,0.2525,3.0300000000000002,0.12120000000000002
Anon#1073,Math,0.3546666666666667,4.256,0.17024
Anon#1073,Reading,0.18033333333333335,2.164,0.08656000000000001
Anon#1073,Science,0.177,2.1239999999999997,0.08495999999999998
Anon#1088,Math,3.5136666666666665,42.164,1.68656
Anon#1093,Language,0.7745,9.294,0.37176000000000003
Anon#1093,Reading,0.8311666666666667,9.974,0.39896
Anon#1093,Science,0.025333333333333333,0.304,0.012159999999999999
Anon#1099,Language,0.40950000000000003,4.914,0.19655999999999998
Anon#1099,Math,5.956666666666667,71.48,2.8592
Anon#1099,Reading,0.6861666666666667,8.234,0.32936
Anon#1099,Science,0.19,2.2800000000000002,0.0912
Anon#1100,Language,1.0936666666666668,13.124,0.52496
Anon#1100,Math,3.055833333333333,36.67,1.4668
Anon#1114,Reading,0,0,0
Anon#1120,Math,3.344166666666667,40.13000000000001,1.6052000000000004
Anon#1122,Math,1.0524999999999998,12.629999999999999,0.5052
Anon#1143,Math,2.625333333333333,31.503999999999998,1.26016
Anon#1145,Math,3.9341666666666675,47.21000000000001,1.8884000000000003
Anon#1154,Language,0.41483333333333333,4.978,0.19912
Anon#1154,Reading,1.1318333333333332,13.581999999999999,0.54328
Anon#1164,Math,0.5758333333333334,6.910000000000001,0.27640000000000003
Anon#1176,Math,0.09583333333333334,1.15,0.046
Anon#1184,Math,5.084666666666666,61.016,2.44064
Anon#1185,Math,9.395,112.73999999999998,4.509599999999999
Anon#1208,Math,1.1773333333333333,14.128,0.56512
Anon#1232,Math,0.511,6.132,0.24528
Anon#1237,Language,0.455,5.46,0.2184
Anon#1237,Math,0.112,1.3439999999999999,0.053759999999999995
Anon#1240,Math,0.17933333333333332,2.152,0.08608
Anon#1253,Math,1.3606666666666667,16.328,0.6531199999999999
Anon#1326,Language,0.9806666666666667,11.768,0.47072
Anon#1338,Math,2.0153333333333334,24.184,0.96736
Anon#1372,Math,3.4908333333333332,41.89,1.6756
Anon#1387,Science,0.021166666666666667,0.254,0.01016
Anon#1399,Math,0.08349999999999999,1.002,0.04008
Anon#1407,Math,1.1386666666666665,13.663999999999998,0.5465599999999999
Anon#1410,Math,0,0,0
Anon#1422,Math,4.348833333333333,52.186,2.08744
Anon#1445,Math,3.001333333333333,36.016,1.44064
Anon#1445,Science,1.497,17.964000000000002,0.7185600000000001
Anon#1455,Math,0.6688333333333333,8.026,0.32104
Anon#1478,Reading,0.17149999999999999,2.058,0.08231999999999999
Anon#1522,Math,3.0748333333333333,36.898,1.4759200000000001
Anon#1524,Reading,0.18766666666666668,2.252,0.09008
Anon#1529,Math,2.897,34.763999999999996,1.3905599999999998
Anon#1547,Math,0.264,3.168,0.12672
Anon#1551,Math,2.8945000000000003,34.734,1.3893600000000002
Anon#1563,Math,1.8058333333333332,21.669999999999998,0.8667999999999999
Anon#1583,Math,0.7140000000000001,8.568000000000001,0.3427200000000001
Anon#1587,Language,0.4261666666666667,5.114,0.20456
Anon#1587,Math,0.23,2.7600000000000002,0.11040000000000001
Anon#1587,Reading,0.25633333333333336,3.076,0.12304
Anon#1587,Science,0.2816666666666666,3.38,0.1352
Anon#1589,Math,3.6988333333333334,44.386,1.7754400000000001
Anon#1601,Math,1.0479999999999998,12.575999999999999,0.5030399999999999
Anon#1604,Math,0.3481666666666667,4.178,0.16712
Anon#1634,Math,2.8208333333333333,33.85,1.354
Anon#1638,Math,0.9991666666666668,11.99,0.4796
Anon#1645,Math,3.7525,45.03,1.8012000000000001
Anon#1705,Math,3.189,38.268,1.53072
Anon#1760,Math,1.3021666666666667,15.626,0.6250399999999999
Anon#1803,Math,3.572666666666667,42.872,1.71488
Anon#1803,Science,2.1913333333333336,26.296000000000003,1.05184
Anon#1807,Language,0.15166666666666667,1.8199999999999998,0.07279999999999999
Anon#1807,Math,0.4686666666666667,5.6240000000000006,0.22496000000000002
Anon#1807,Reading,0.6353333333333334,7.6240000000000006,0.30496
Anon#1807,Science,0.3111666666666667,3.7340000000000004,0.14936000000000002
Anon#1814,Math,0.19333333333333333,2.32,0.0928
Anon#1819,Math,0.5678333333333333,6.814,0.27256
Anon#1832,Language,0.8079999999999999,9.696,0.38783999999999996
Anon#1832,Math,8.8545,106.25399999999999,4.250159999999999
Anon#1832,Reading,1.3613333333333335,16.336000000000002,0.6534400000000001
Anon#1832,Science,0.06283333333333334,0.754,0.03016
Anon#1845,Math,3.9568333333333334,47.482,1.89928
Anon#1847,Math,2.370166666666667,28.442,1.13768
Anon#1858,Math,0.39816666666666667,4.7780000000000005,0.19112
Anon#1871,Language,0.9261666666666667,11.114,0.44456
Anon#1871,Math,0.411,4.932,0.19728
Anon#1882,Math,0,0,0
Anon#1897,Language,1.1855,14.225999999999999,0.56904
Anon#1897,Math,0.9156666666666666,10.988,0.43951999999999997
Anon#1897,Reading,1.063,12.756,0.51024
Anon#1897,Science,0.8948333333333333,10.738,0.42951999999999996
Anon#1903,Language,1.2929999999999997,15.515999999999996,0.6206399999999999
Anon#1903,Math,0.8933333333333333,10.72,0.4288
Anon#1903,Reading,1.2594999999999998,15.113999999999999,0.60456
Anon#1903,Science,0.2748333333333333,3.2979999999999996,0.13191999999999998
Anon#1917,Math,2.9133333333333336,34.96,1.3984
Anon#1920,Language,0.8083333333333333,9.7,0.38799999999999996
Anon#1920,Math,3.4968333333333335,41.962,1.6784800000000002
Anon#1920,Reading,0.4305,5.1659999999999995,0.20664
Anon#1920,Science,0.8783333333333333,10.54,0.4216
Anon#1921,Language,0.14766666666666667,1.7719999999999998,0.07088
Anon#1921,Math,1.0001666666666666,12.001999999999999,0.48007999999999995
Anon#1921,Reading,0.22866666666666668,2.744,0.10976000000000001
Anon#1921,Science,0.30850000000000005,3.7020000000000004,0.14808000000000002
Anon#1921,Social Studies,0.223,2.676,0.10704000000000001
Anon#1926,Math,0.27149999999999996,3.258,0.13032
Anon#1935,Math,1.2018333333333333,14.422,0.5768800000000001
Anon#1946,Math,2.1393333333333335,25.672000000000004,1.0268800000000002
Anon#1951,Math,0,0,0
Anon#1958,Math,2.2978333333333336,27.574,1.1029600000000002
Anon#1965,Math,1.1909999999999998,14.291999999999998,0.57168
Anon#1966,Math,3.4371666666666667,41.245999999999995,1.6498399999999998
Anon#1978,Math,3.446166666666666,41.354,1.65416
Anon#1981,Language,0.32716666666666666,3.9259999999999997,0.15703999999999999
Anon#1981,Math,0.4136666666666667,4.964,0.19856000000000001
Anon#1981,Reading,0.5503333333333332,6.603999999999999,0.26415999999999995
Anon#1981,Science,0.2213333333333333,2.6559999999999997,0.10623999999999999
Anon#1985,Reading,0,0,0
Anon#2008,Reading,0,0,0
Anon#2092,Language,1.1431666666666667,13.718,0.54872
Anon#2092,Math,0.21133333333333332,2.536,0.10144
Anon#2092,Science,0.41300000000000003,4.956,0.19824000000000003
Anon#2101,Math,1.9235,23.082,0.92328
Anon#2108,Math,1.5478333333333334,18.574,0.7429600000000001
Anon#2119,Math,0.017333333333333333,0.20800000000000002,0.008320000000000001
Anon#2185,Math,0.5633333333333332,6.76,0.2704
Anon#2193,Science,0.41333333333333333,4.96,0.1984
Anon#2212,Math,0.5423333333333333,6.508,0.26032
Anon#2227,Math,3.398166666666667,40.778000000000006,1.6311200000000001
Anon#2228,Math,0.7031666666666666,8.437999999999999,0.33751999999999993
Anon#2229,Math,0.9428333333333333,11.314,0.45256
Anon#2245,Math,4.1885,50.26200000000001,2.0104800000000003
Anon#2253,Math,0.8791666666666667,10.55,0.42200000000000004
Anon#2272,Math,2.822666666666666,33.872,1.35488
Anon#2290,Math,6.695666666666666,80.34799999999998,3.2139199999999994
Anon#2292,Math,3.081166666666667,36.974000000000004,1.47896
Anon#2301,Math,2.578333333333333,30.939999999999998,1.2375999999999998
Anon#2304,Math,0.8153333333333334,9.784,0.39136000000000004
Anon#2307,Math,1.9741666666666666,23.69,0.9476
Anon#2308,Math,2.5914999999999995,31.097999999999995,1.24392
Anon#2312,Language,0.5591666666666666,6.709999999999999,0.26839999999999997
Anon#2312,Math,0,0,0
Anon#2312,Reading,0.18433333333333335,2.212,0.08848
Anon#2312,Science,1.4364999999999999,17.238,0.68952
Anon#2318,Language,2.634,31.607999999999997,1.2643199999999999
Anon#2318,Math,0.7799999999999999,9.36,0.37439999999999996
Anon#2318,Reading,1.7405000000000002,20.886000000000003,0.8354400000000001
Anon#2334,Math,2.5475,30.57,1.2228
Anon#2338,Math,1.9334999999999998,23.201999999999998,0.9280799999999999
Anon#2360,Math,6.061666666666667,72.74000000000001,2.9096
Anon#2361,Math,0.34299999999999997,4.116,0.16463999999999998
Anon#2364,Math,1.2746666666666668,15.296000000000001,0.61184
Anon#2379,Math,0.8954999999999999,10.745999999999999,0.42983999999999994
Anon#2402,Language,1.983,23.796,0.95184
Anon#2402,Math,1.5428333333333335,18.514000000000003,0.7405600000000001
Anon#2402,Reading,0.9794999999999999,11.754,0.47015999999999997
Anon#2409,Science,0.6423333333333333,7.708,0.30832
